id,digit
2049,1
2050,8
2051,3
2052,0
2053,3
2054,8
2055,9
2056,3
2057,1
2058,7
2059,1
2060,0
2061,7
2062,2
2063,1
2064,8
2065,8
2066,6
2067,1
2068,7
2069,1
2070,9
2071,1
2072,5
2073,3
2074,3
2075,8
2076,1
2077,9
2078,5
2079,3
2080,2
2081,0
2082,3
2083,3
2084,6
2085,1
2086,3
2087,7
2088,9
2089,5
2090,1
2091,4
2092,4
2093,1
2094,1
2095,7
2096,8
2097,1
2098,2
2099,8
2100,7
2101,7
2102,3
2103,2
2104,1
2105,1
2106,3
2107,5
2108,5
2109,3
2110,0
2111,1
2112,1
2113,7
2114,7
2115,8
2116,3
2117,1
2118,6
2119,3
2120,1
2121,3
2122,1
2123,6
2124,1
2125,6
2126,6
2127,1
2128,1
2129,3
2130,8
2131,7
2132,1
2133,1
2134,1
2135,0
2136,2
2137,3
2138,0
2139,0
2140,7
2141,2
2142,4
2143,5
2144,5
2145,3
2146,1
2147,4
2148,1
2149,1
2150,1
2151,2
2152,3
2153,4
2154,8
2155,2
2156,9
2157,1
2158,1
2159,8
2160,0
2161,4
2162,2
2163,1
2164,2
2165,0
2166,0
2167,1
2168,7
2169,1
2170,3
2171,1
2172,3
2173,6
2174,9
2175,6
2176,6
2177,1
2178,5
2179,1
2180,3
2181,4
2182,7
2183,8
2184,2
2185,7
2186,3
2187,8
2188,4
2189,2
2190,1
2191,1
2192,2
2193,6
2194,8
2195,8
2196,6
2197,1
2198,4
2199,1
2200,6
2201,8
2202,1
2203,0
2204,1
2205,8
2206,3
2207,6
2208,6
2209,8
2210,5
2211,7
2212,1
2213,4
2214,1
2215,0
2216,5
2217,7
2218,9
2219,0
2220,9
2221,4
2222,8
2223,1
2224,1
2225,8
2226,7
2227,5
2228,8
2229,8
2230,6
2231,6
2232,0
2233,1
2234,0
2235,2
2236,4
2237,6
2238,1
2239,3
2240,1
2241,0
2242,5
2243,5
2244,1
2245,9
2246,0
2247,0
2248,4
2249,1
2250,9
2251,3
2252,1
2253,0
2254,4
2255,6
2256,8
2257,7
2258,9
2259,1
2260,5
2261,0
2262,2
2263,1
2264,8
2265,7
2266,2
2267,4
2268,5
2269,5
2270,2
2271,8
2272,8
2273,4
2274,6
2275,7
2276,5
2277,8
2278,1
2279,4
2280,4
2281,5
2282,4
2283,7
2284,8
2285,2
2286,2
2287,7
2288,6
2289,9
2290,4
2291,4
2292,1
2293,1
2294,8
2295,2
2296,6
2297,1
2298,1
2299,1
2300,5
2301,7
2302,7
2303,5
2304,3
2305,4
2306,7
2307,5
2308,5
2309,1
2310,8
2311,8
2312,5
2313,7
2314,4
2315,8
2316,1
2317,2
2318,1
2319,1
2320,5
2321,1
2322,9
2323,9
2324,1
2325,1
2326,1
2327,7
2328,7
2329,4
2330,1
2331,3
2332,8
2333,8
2334,1
2335,1
2336,1
2337,4
2338,2
2339,6
2340,1
2341,8
2342,6
2343,1
2344,4
2345,1
2346,2
2347,1
2348,0
2349,8
2350,5
2351,1
2352,0
2353,4
2354,3
2355,1
2356,8
2357,6
2358,1
2359,5
2360,9
2361,5
2362,9
